  10   4 -5.00000010E-03
  11   4 -4.13223150E-03
  12   4 -3.47222231E-03
  13   4 -2.95857996E-03
  14   4 -2.55102048E-03
  15   4 -2.22222229E-03
  16   4 -1.95312506E-03
  17   4 -1.73010386E-03
  18   4 -1.54320992E-03
  19   4 -1.38504159E-03
  20   4 -1.25000004E-03
  21   4 -1.13378688E-03
  22   4 -1.03305788E-03
  23   4 -9.45179610E-04
  24   4 -8.68055579E-04
  25   4 -8.00000022E-04
  26   4 -7.39644990E-04
  27   4 -6.85871074E-04
  28   4 -6.37755118E-04
  29   4 -5.94530336E-04
  30   4 -5.55555569E-04
   6   5 -1.38888889E-02
   7   5 -1.02040816E-02
   8   5 -7.81250005E-03
   9   5 -6.17283957E-03
  10   5 -5.00000005E-03
  11   5 -4.13223146E-03
  12   5 -3.47222227E-03
  13   5 -2.95857993E-03
  14   5 -2.55102045E-03
  15   5 -2.22222226E-03
  16   5 -1.95312504E-03
  17   5 -1.73010384E-03
  18   5 -1.54320991E-03
  19   5 -1.38504158E-03
  20   5 -1.25000003E-03
  21   5 -1.13378687E-03
  22   5 -1.03305787E-03
  23   5 -9.45179603E-04
  24   5 -8.68055572E-04
  25   5 -8.00000016E-04
  26   5 -7.39644985E-04
  27   5 -6.85871069E-04
  28   5 -6.37755114E-04
  29   5 -5.94530332E-04
  30   5 -5.55555566E-04
   7   6 -1.02040816E-02
   8   6 -7.81250001E-03
   9   6 -6.17283953E-03
  10   6 -5.00000002E-03
  11   6 -4.13223143E-03
  12   6 -3.47222225E-03
  13   6 -2.95857991E-03
  14   6 -2.55102043E-03
  15   6 -2.22222225E-03
  16   6 -1.95312503E-03
  17   6 -1.73010383E-03
  18   6 -1.54320990E-03
  19   6 -1.38504157E-03
  20   6 -1.25000002E-03
  21   6 -1.13378686E-03
  22   6 -1.03305787E-03
  23   6 -9.45179598E-04
  24   6 -8.68055568E-04
  25   6 -8.00000012E-04
  26   6 -7.39644981E-04
  27   6 -6.85871066E-04
  28   6 -6.37755111E-04
  29   6 -5.94530330E-04
  30   6 -5.55555563E-04
   8   7 -7.81249998E-03
   9   7 -6.17283952E-03
  10   7 -5.00000002E-03
  11   7 -4.13223142E-03
  12   7 -3.47222223E-03
  13   7 -2.95857990E-03
  14   7 -2.55102042E-03
  15   7 -2.22222224E-03
  16   7 -1.95312502E-03
  17   7 -1.73010382E-03
  18   7 -1.54320989E-03
  19   7 -1.38504156E-03
  20   7 -1.25000001E-03
  21   7 -1.13378686E-03
  22   7 -1.03305786E-03
  23   7 -9.45179593E-04
  24   7 -8.68055564E-04
  25   7 -8.00000008E-04
  26   7 -7.39644978E-04
  27   7 -6.85871063E-04
  28   7 -6.37755109E-04
  29   7 -5.94530327E-04
  30   7 -5.55555561E-04
   9   8 -6.17283950E-03
  10   8 -5.00000001E-03
  11   8 -4.13223140E-03
  12   8 -3.47222223E-03
  13   8 -2.95857989E-03
  14   8 -2.55102042E-03
  15   8 -2.22222223E-03
  16   8 -1.95312501E-03
  17   8 -1.73010382E-03
  18   8 -1.54320989E-03
  19   8 -1.38504156E-03
  20   8 -1.25000001E-03
  21   8 -1.13378686E-03
  22   8 -1.03305786E-03
  23   8 -9.45179591E-04
  24   8 -8.68055562E-04
  25   8 -8.00000006E-04
  26   8 -7.39644976E-04
  27   8 -6.85871062E-04
  28   8 -6.37755107E-04
  29   8 -5.94530326E-04
  30   8 -5.55555560E-04
  10   9 -5.00000001E-03
  11   9 -4.13223141E-03
  12   9 -3.47222223E-03
  13   9 -2.95857988E-03
  14   9 -2.55102041E-03
  15   9 -2.22222222E-03
  16   9 -1.95312500E-03
